pair,threshold,cost_bucket,trades,profit_factor,expectancy,sharpe,max_drawdown,win_rate,total_return,gross_return,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,observations,passes_trade_gate,passes_quality_gate
BTC-USD-SOL-USD,1.5,base,18,0.6529734074434058,-0.0020124073966816232,-1.0736049767600664,0.07713057407749688,0.3888888888888889,-0.03652888909675944,0.004681384828197688,0.017499999999999998,0.014000000000000002,0.0030214140624999996,0.007000000000000001,0.00035000000000000005,5041,False,False
ETH-USD-SOL-USD,1.25,stress,18,0.612227423116373,-0.001997210338277074,-1.1434015633892087,0.08077994875654992,0.2777777777777778,-0.03613985432290334,0.03562822956557277,0.026250000000000002,0.028000000000000004,0.0031158776041666668,0.014000000000000002,0.00035000000000000005,5041,False,False
BTC-USD-SOL-USD,1.0,base,18,0.591424725715315,-0.002535177992660506,-1.3507720260014222,0.08392751056250947,0.3333333333333333,-0.04555500408556912,-0.004728203633268757,0.017499999999999998,0.014000000000000002,0.0030214140624999996,0.007000000000000001,0.00035000000000000005,5041,False,False
BTC-USD-SOL-USD,1.25,base,18,0.5882710246144793,-0.0025644013488477497,-1.363570556247527,0.08583975543482154,0.3333333333333333,-0.046060784594826765,-0.005251599022677245,0.017499999999999998,0.014000000000000002,0.0030214140624999996,0.007000000000000001,0.00035000000000000005,5041,False,False
BTC-USD-SOL-USD,1.5,stress,18,0.460261405192077,-0.0036651851744594005,-1.8930180454246317,0.09718349156639694,0.3888888888888889,-0.06483234953199402,0.004681384828197688,0.026250000000000002,0.028000000000000004,0.0030214140624999996,0.014000000000000002,0.00035000000000000005,5041,False,False
BTC-USD-SOL-USD,1.0,stress,18,0.42690911797322145,-0.004187955770438284,-2.1584577183374525,0.10564316461265144,0.2777777777777778,-0.0735951628971595,-0.004728203633268757,0.026250000000000002,0.028000000000000004,0.0030214140624999996,0.014000000000000002,0.00035000000000000005,5041,False,False
BTC-USD-SOL-USD,1.25,stress,18,0.423448125483554,-0.0042171791266255275,-2.166248619963802,0.10611987937160228,0.3333333333333333,-0.07408896004963439,-0.005251599022677245,0.026250000000000002,0.028000000000000004,0.0030214140624999996,0.014000000000000002,0.00035000000000000005,5041,False,False
BTC-USD-ETH-USD,1.25,base,18,0.1780820878358698,-0.003601137197704927,-2.6837235610309236,0.07344647649104614,0.3333333333333333,-0.06323972648659504,-0.02237307406219957,0.017499999999999998,0.014000000000000002,0.0038162916666666666,0.007000000000000001,0.00035000000000000005,5043,False,False
BTC-USD-ETH-USD,1.25,stress,18,0.0762541913863998,-0.005253914975482704,-3.6286220526284834,0.09302730038272156,0.16666666666666666,-0.09077425608989909,-0.02237307406219957,0.026250000000000002,0.028000000000000004,0.0038162916666666666,0.014000000000000002,0.00035000000000000005,5043,False,False
ETH-USD-SOL-USD,1.5,base,16,0.903579204461296,-0.0004052484896577362,-0.21451032796595404,0.06097676194325353,0.25,-0.0072514262153784426,0.030747272070678733,0.0155,0.012400000000000001,0.0031158776041666668,0.006200000000000001,0.00031000000000000005,5041,False,False
ETH-USD-SOL-USD,1.5,stress,16,0.6217138048059893,-0.0020521234896577357,-1.0363492646234425,0.07832475956109064,0.25,-0.03314476478022821,0.030747272070678733,0.02325,0.024800000000000003,0.0031158776041666668,0.012400000000000001,0.00031000000000000005,5041,False,False
BTC-USD-ETH-USD,1.5,base,16,0.17955419236782189,-0.004073727067799999,-2.724061071364153,0.07408826936995115,0.25,-0.06356727328943412,-0.02705362561891711,0.0155,0.012400000000000001,0.0038162916666666666,0.006200000000000001,0.00031000000000000005,5043,False,False
